name,rank,area,profile,homepage
"Vaswani, Sharan",Assistant Professor,"Research Interests:, Reinforcement Learning, Optimization, Machine Learning, Teaching Interests:, Optimization, Reinforcement Learning, Machine Learning",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/sharan_vaswani.html,https://vaswanis.github.io/
"Vincent, Nicholas",Assistant Professor,"Research Interests:, Human-computer interaction, Responsible artificial intelligence, Human-centric machine learning, Teaching Interests:, Human-computer interaction, Social computing, Human-centric machine learning",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/nicholas_vincent.html,https://www.nickmvincent.com/
"Vora, Keval",Associate Professor,"Research Interests:, Parallel & Distributed Computing, Irregular Big Data Processing, High Performance Computing, Teaching Interests:, Parallel Computing, Distributed Systems",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/keval.html,https://www.cs.sfu.ca/~keval/
"Wang, Jiannan",Associate Professor,"Research Interests:, Database Systems, Data Management, Data Cleaning, Crowdsourcing, Teaching Interests:, Database, Data Science, Big Data",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/jnwang.html,https://www.cs.sfu.ca/~jnwang/
"Wang, Ke",Professor,"Research Interests:, Mining massive datasets, Mining biological data, Graph and network data, Data privacy, Teaching Interests:, Database, Data mining and data privacy, Information retrieval",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/wangk.html,https://www.cs.sfu.ca/~wangk/
"Wang, Tao",Assistant Professor,"Research Interests:, Anonymity networks, Traffic analysis, Privacy enhancing technologies, Teaching Interests:, Computer security and privacy, Discrete mathematics, Machine learning",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/taowang.html,https://www.cs.sfu.ca/~taowang
"Wang, Tianzheng",Associate Professor | Dual Degree and Partnerships Programs Director,"Research Interests:, Database systems, Transaction processing, Synchronization, Parallel and distributed computing, Embedded systems., Teaching Interests:, Databases, Operating systems, Parallel programming",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/tzwang.html,https://www.cs.sfu.ca/~tzwang/
"Wang, Yuepeng",Assistant Professor,"Research Interests:, Program synthesis, Program verification, Programming languages, Formal methods, Teaching Interests:, Programming languages, Formal Verification, Compilers",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/yuepeng.html,https://www.cs.sfu.ca/~yuepeng/
"Wiese, Kay C",Professor | Software Systems Chair and Program Director,"Research Interests:, Bioinformatics and Computational Biology, Evolutionary Computation, Computational Intelligence and Machine Learning, Teaching Interests:, Computational Biology and Bioinformatics, Data Structures and Algorithms, Discrete Mathematics",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/wiese.html,https://www.cs.sfu.ca/~wiese/
"Wu, Jianliang",Assistant Professor,"Research Interests:, Systems Security and Privacy, Formal Analysis, Machine Learning Security and Privacy, Teaching Interests:, Network Security, Software Security, Networks",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/wujl.html,https://allenjlw.github.io/
"Xie, Cynthia",Senior Lecturer,"Intensive Mandarin Chinese courses, Heritage Mandarin courses, Technical reading and writing",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/cxie.html,
"Yang, Xingdong",Associate Professor | Visual Computing Research Chair,"Research Interests:, Human-Computer Interaction, Teaching Interests:, Human-Computer Interaction, Mobile Computing",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/xingdong_yang.html,https://www.sfu.ca/~xingdong/
"Yin, KangKang",Associate Professor,"Research Interests:, computer animation, computer graphics, humanoid robotics, machine learning, multimedia analysis, Teaching Interests:, Computer Animation, Computer Graphics, Scientific Computing, Machine Learning",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/kkyin.html,https://www.cs.sfu.ca/~kkyin/
"Zhang, Richard",Distinguished SFU Professor | Amazon Scholar,"Research Interests:, Geometry processing, Computer graphics, Shape modelling and analysis, Teaching Interests:, Computer graphics, Geometry modeling and processing, Computer animation",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/haoz.html,https://www.cs.sfu.ca/~haoz/
"Atkins, Stella",Professor Emeritus,"Medical Image Display and Analysis, and telehealth issues. This includes MR image segmentation, brain atrophy studies, image registration, denoising and enhancement, and radiology workstation design. Additionally, I am interested in the use of eyetrackers which provide a new imaging modality for seeing inside the brain.",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/stella.html,https://www.cs.sfu.ca/~stella/
"Bhattacharya, Binay",Professor Emeritus,"Design and analysis of geometric algorithms, Approximation algorithms, Resource allocation optimization, Vehicle routing, Transportation scheduling",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/binay.html,https://www.cs.sfu.ca/~binay/
"Burton, Warren",Professor Emeritus,"Research interests include both functional programming and parallel computing, with the primary emphasis being placed on the intersection of these two areas. The overall objective of this work is to contribute to the development of high-level, machine independent languages for parallel programming., Current activities include:, (1) Exploration of methods for permitting nondeterministic behavior in parallel functional programs while retaining deterministic semantics., (2) Consideration of ways to allow complicated multilinked data structures to be updated in place., (3) Study of various scheduling problems that arise with the parallel implementation of functional languages., (4) Development of annotations to control the run-time behavior of parallel functional programs., (5) Various other issues related to the design, implementation and use of functional languages., (6) Various other issues related to the design, implementation and use of languages for parallel computing",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/burton.html,https://www.cs.sfu.ca/~burton/
"Dahl, Veronica",Professor Emeritus,"Research Interests:, Logic programming, logic grammars, computational linguistics and its applications, knowledge bases and intelligent systems, computational molecular biology, high level internet programming, Teaching Interests:, Computational Linguistics, Artificial Intelligence, Computers in the Humanities, Knowledge based systems",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/veronica.html,https://www.cs.sfu.ca/~veronica/
"Delgrande, James",Professor Emeritus,"Research Interests:, Knowledge representation and reasoning, Belief change, Reasoning about action and change, Nonmonotonic reasoning, Preference handling, Teaching Interests:, Knowledge Representation, Artificial Intelligence, Database Systems",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/jim.html,https://www.cs.sfu.ca/~jim/
"Drew, Mark",Professor Emeritus,"Research Interests:, Image processing, colour, computer vision, computer graphics, multimedia, and visualization., Teaching Interests:, Illumination in Imaging and Video, Multimedia Systems",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/mark.html,https://www.cs.sfu.ca/~mark
"Funt, Brian",Professor Emeritus,"Research Interests:, Digital Colour Imaging, Colour Constancy, Colour in Medicine, Colour Perception, Teaching Interests:, Computational Colour Vision, Machine Vision, Computing Science for Science Students Using MATLAB",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/funt.html,https://www.cs.sfu.ca/~funt
"Hadley, Bob",Professor Emeritus,"Research Interests:, Use of connectionist (neural) nets in acquisition of syntactic and semantic knowledge, Philosophical Implications of Artificial Intelligence, The Combinatorial Limitations of Neural Networks, Teaching Interests:, Computational Cognitive Science, Artificial Intelligence, Social Implications of Computers",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/hadley.html,https://www.cs.sfu.ca/~hadley/
"Havens, Bill",Professor Emeritus,"My research is concerned with developing Constraint Programming methodology for Intelligent Systems applications. The methodology includes constraint solving algorithms, systematic and heuristic search procedures, constraint optimization, belief propagation and multiagent systems. Our research group forms the SFU Intelligent Systems Laboratory ., Constraint Programming is an effective technology for solving real-world combinatorial problems in scheduling, planning and configuration. We are particularly interested in mixed-initiative reasoning systems which allow strong peer interaction between the intelligent system and the user of the system. My current research focuses on combining incremental constructive search methods and iterative repair methods in a unified multiagent architecture called Resolver. We are also interested in adapting bayesian propagation algorithms as heuristics for solving constraint satisfaction problems.",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/havens.html,
"Hell, Pavol",Professor Emeritus,"Research Interests:, Algorithmic graph theory, Complexity of algorithms, Combinatorics of networks, Teaching Interests:, Graph algorithms, Algorithms and complexity, Discrete optimization",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/pavol.html,https://www.cs.sfu.ca/~pavol/
"Pei, Jian",Professor Emeritus,"Teaching Interests:, Data mining, Web search and information retrieval, Database systems, Research Interests:, Data mining and database systems, Business intelligence, data warehousing and online analytic processing (OLAP), Web search and information retrieval, Social media and social networks, Health and medical informatics",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/jian-pei.html,https://www.sfu.ca/~jpei/.html
"Shermer, Thomas C.",Professor Emeritus,"Research Interests:, Software engineering: tools and methods, Compiler construction, Program transformations, Theoretical computer networks, Computational geometry",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/thomas-c--shermer.html,https://www.sfu.ca/~shermer/.html
"Kameda, Tiko",Professor Emeritus,"My research interest lies in the areas of distributed computing, computer networks, computational geometry, and algorithms in general. My current research topics include synchronization in distributed systems, mobile intruders detection in a polygon, and video on demand.",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/tiko.html,https://www.cs.sfu.ca/~tiko/
"Krishnamurti, Ramesh",Professor Emeritus,"Linear programming, Duality, Matching, Designing Approximation algorithms based on linear programming",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/ramesh.html,https://www.cs.sfu.ca/~ramesh/
"Li, Ze-Nian",Professor Emeritus,"Research Interests:, Computer vision, Multimedia, Artificial Intelligence, Teaching Interests:, Undergraduate and Graduate teaching and curriculum development in Vision and Multimedia, Development of the Dual Degree Programs with Zhejiang University, China",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/li.html,https://www.cs.sfu.ca/~li/
"Liestman, Art",Professor Emeritus,"Research Interests:, Network structure, Network communications, Graph theory, Graph algorithms, Teaching Interests:, Algorithms, Complexity, Discrete mathematics, Technical writing",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/art.html,https://www.cs.sfu.ca/~art/
"Luk, Wo-shun",Professor Emeritus,Database Systems and Distributed Parallel Processing,https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/woshun.html,https://www.cs.sfu.ca/~woshun/
"Peters, Joseph",Professor Emeritus,"Research Interests:, Modelling and performance analysis of communication networks, Communication algorithms, Distributed computation, Multimedia networking, Teaching Interests:, Algorithms and Complexity Theory, Network Communication, Simulation and Modelling",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/peters.html,
"Weinkam, James J",Professor Emeritus,"My main interests are in the use of special purpose languages and database techniques to solve applied problems. I am particularly interested in the area of Computational Epidemiology, the analysis of large, public heath databases for the purpose of estimating mortality and morbidity risks. My work has involved analysis of temporal trends in mortality rates and investigation of the potential biases affecting relative risk estimates and techniques for correcting for them.",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/jjw.html,
"Calvert, Tom",In Memoriam,"My research focuses on computer based tools for user interaction with multimedia systems. This includes the use of networked multimedia for telelearning and systems for the choreography and animation of human figures., In collaboration with Dr. Linda Harasim of the SFU School of Communication and an interdisciplinary team, we have developed the web-based Virtual-U system for online collaborative learning. I have served as Co-leader of the TeleLearning Network of Centres of Excellence., My co-workers and I in the Graphics and Multimedia Research Lab developed the Life Forms™ system for the choreography and animation of multiple human figures. The system was developed to support human figure animation, movement planning and the composition of dance. Life Forms has been instrumented and was used as a tool to study the creative processes involved in composition and animation. The research work was done in the Graphics and Multimedia Research Lab at SFU. The Life Forms™ product was distributed in Windows'95, Macintosh and Silicon Graphics IRIS versions throughout the world. The software is being further developed and marketed by CREDO Interactive Inc.",https://www.sfu.ca/fas/computing/people/faculty/emeriti-faculty-members/tom.html,
"Asgari, Saeid",Adjunct Research Professor,"My research is around developing interpretable and trustworthy (robust, fair, and reliable) machine learning systems that can handle domain shifts and spurious correlations without significant failures. Lately, my work has been focused on foundation models and leveraging language models for interpreting various models, including those related to vision. I am also actively working on addressing copyright and parroting (memorization) issues in large generative models.",https://www.sfu.ca/fas/computing/people/faculty/adjunct-professors/saeid.html,https://asgsaeid.github.io
"Cohen-Or, Daniel",Adjunct Professor,"I am a Professor at the Department of Computer Science, an ACM fellow, and The Isaias Nizri Chair in Visual Computing. I received a B.Sc. cum laude in both Mathematics and Computer Science (1985), a M.Sc. cum laude in Computer Science (1986) from Ben-Gurion University, and a Ph.D. from the Department of Computer Science (1991) at State University of New York at Stony Brook., My research interests are in Computer Graphics, Visual Computing and Geometric Modeling. Currently, focusing on generative models., I was the recipient of the Eurographics Outstanding Technical Contributions Award in 2005, ACM SIGGRAPH Computer Graphics Achievement Award in 2018. In 2012 I’ve received The People’s Republic of China Friendship Award. In 2015 I’ve been named a Thomson Reuters Highly Cited Researcher. In 2016 I’ve become an adjunct Professor at the Simon Fraser University In 2019 I’ve won The Kadar Family Award for Outstanding Research. In 2020 I’ve received The Eurographics Distinguished Career Award.",https://www.sfu.ca/fas/computing/people/faculty/adjunct-professors/daniel-cohen-or.html,https://danielcohenor.com
"Shirmohammadi, Shervin",Adjunct Professor,"Shervin Shirmohammadi received his Ph.D. in Electrical Engineering in 2000 from the University of Ottawa, Canada, and after spending 3 years in the industry as a senior architect and project manager, joined as Assistant Professor the same University, where since 2012 he has been a Full Professor with the School of Electrical Engineering and Computer Science. He is Director of the Discover Laboratory, doing research in machine learning-assisted measurements, especially vision-based measurement, IoT measurements, and multimedia and network measurements. The results of his research, funded by more than $28 million from public and private sectors, have led to over 400 publications, 4 Best Paper awards, over 70 researchers trained at the postdoctoral, PhD, and Master’s levels, 30+ patents and technology transfers to the private sector, and a number of awards. He is the founding Editor-in-Chief of the IEEE Open Journal of Instrumentation and Measurement, was the Editor-in-Chief of the IEEE Transactions on Instrumentation and Measurement from 2017 to 2021, the Associate Editor-in-Chief of IEEE Instrumentation and Measurement Magazine in 2014 and 2015, and is currently on the latter’s editorial board., He has been an IEEE Instrumentation and Measurement Society (IMS) AdCom member since 2014, currently serves as its Executive Vice President, and was a Board of Directors member of IMS's flagship conference IEEE I2MTC from 2014 to 2016., Dr. Shirmohammadi is an IEEE Fellow “for contributions to multimedia systems and network measurements”, winner of the 2019 George S. Glinski Award for Excellence in Research, winner of the 2021 IEEE IMS Distinguished Service Award, winner of the 2023 IEEE IMS Technical Award “for contributions to the advancement of machine learning-assisted measurements”, a Senior Member of the ACM, a University of Ottawa Gold Medalist, and a licensed Professional Engineer in Ontario.",https://www.sfu.ca/fas/computing/people/faculty/adjunct-professors/shervin-shirmohammadi.html,https://www.site.uottawa.ca/~shervin/
"Tan, Ping",Adjunct Professor,"Research Interests:, Computer Vision, Computer Graphics, Robotics, Teaching Interests:, Computer Vision, Computer Graphics",https://www.sfu.ca/fas/computing/people/faculty/adjunct-professors/pingtan.html,https://www.cs.sfu.ca/~pingtan/
"Vaughan, Richard",Adjunct Professor,"Research Interests:, Applying models of animal behaviour to solve problems in robotics and other adaptive systems, Creating tools and techniques for designing and simulating populations of robots, Teaching Interests:, Distributed systems, Real-world software engineering, Practical team-based project work",https://www.sfu.ca/fas/computing/people/faculty/adjunct-professors/vaughan.html,https://www.cs.sfu.ca/~vaughan
"Mori, Gregory",Adjunct Professor,"Dr. Greg Mori was born in Vancouver and grew up in Richmond, BC. He received the Ph.D. degree in Computer Science from the University of California, Berkeley in 2004. He received an Hon. B.Sc. in Computer Science and Mathematics with High Distinction from the University of Toronto in 1999. He spent one year (1997-1998) as an intern at Advanced Telecommunications Research (ATR) in Kyoto, Japan. After graduating from Berkeley, he returned home to Vancouver and is currently a Professor in the School of Computing Science at Simon Fraser University., He was a Visiting Scientist at Google in Mountain View, California in 2014-2015. He served as Director of the School of Computing Science from 2015-2018. He is now Senior Research Director for RBC's Borealis AI., Dr. Mori conducts research in computer vision and machine learning, and teaches classes in data structures and programming, artificial intelligence, computer vision, and machine learning. Dr. Mori received the Canadian Image Processing and Pattern Recognition Society (CIPPRS) Award for Research Excellence and Service in 2008. Dr. Mori received NSERC Discovery Accelerator Supplement awards in 2008 and 2015. He received the ICCV Helmholtz Prize in 2017. He served on the editorial boards of IJCV and T-PAMI, the top journals in computer vision, and on the organizing committees for CVPR, ICCV, ECCV, NeurIPS, and ICLR, the top conferences in computer vision and machine learning. He was a Program Chair for CVPR 2020 and will be a General Chair for CVPR 2023. He is privileged to have worked with many excellent students while at SFU.",https://www.sfu.ca/fas/computing/people/faculty/adjunct-professors/mori.html,https://www.cs.sfu.ca/~mori/
